product_id,manufacturing_date,expiry_date,tag
P00001,2022-10-22,2023-08-27,green
P00002,2022-10-22,2024-01-29,green
P00012,2023-06-24,2024-11-06,green
P00016,2022-07-26,2024-08-15,green
P00017,2022-03-30,2022-11-11,green
P00020,2024-02-03,2024-11-06,green
P00022,2022-11-23,2024-12-02,green
P00027,2022-05-28,2023-09-03,green
P00040,2023-05-21,2024-03-18,green
P00043,2023-01-27,2024-01-12,green
P00044,2022-11-27,2023-07-22,green
P00048,2022-11-08,2024-08-03,green
P00051,2022-06-29,2024-06-28,green
P00052,2022-02-02,2024-04-02,green
P00055,2023-11-06,2024-10-18,green
P00056,2023-01-23,2023-11-25,green
P00057,2023-05-14,2024-08-13,green
P00059,2023-05-22,2024-07-16,green
P00060,2022-01-23,2024-05-04,green
P00061,2023-10-18,2024-07-04,green
P00066,2022-04-24,2022-11-10,green
P00069,2022-08-18,2024-09-29,green
P00072,2022-05-23,2024-01-15,green
P00078,2022-12-02,2024-09-13,green
P00084,2022-02-03,2024-11-01,green
P00086,2023-10-06,2024-12-28,green
P00089,2022-06-04,2024-08-04,green
P00092,2023-06-15,2024-11-30,green
P00094,2023-07-20,2024-06-14,green
P00096,2023-06-27,2024-08-03,green
P00097,2022-06-19,2024-11-16,green
